Year,District,Mean ET (mm),Mean NDVI,Max temp(K),Min temp(K),DPT(K),Relative Humidity,Precipitation (mm),Area,Production
2018?19,Tapi,17.83602155,0.516257773,308.4651976,290.0103815,285.1855524,41.65060506,0.272629312,0,0
2019-20,Tapi,39.32190152,0.418672431,306.7624637,289.0583809,288.9739257,57.61171962,5.63237806,0,0
2020-21,Tapi,33.12935814,0.509557412,307.8378152,288.0524701,287.4702641,52.19688596,5.868636016,0,0
2021-22,Tapi,33.56894999,0.208810355,306.2271119,289.0741714,287.4474127,53.04358097,6.137323819,0,0
2014-15,Vadodara,30.23762088,0.522962184,308.1133525,288.8044311,286.2895511,46.88871649,5.31730831,0.1,0.07
2015-16,Vadodara,24.15599632,0.522631779,308.9345388,287.9298275,285.2204664,43.78515579,0.891770316,0.2,0.14
2016?17,Vadodara,29.39876014,0.49218415,308.0069606,288.1266665,285.4952277,45.56232592,1.299408143,0.1,0.07
2017?18,Vadodara,27.0478043,0.427347255,308.2653034,287.5291318,285.8345891,47.06087131,1.691559433,0,0
2018?19,Vadodara,26.67146265,0.536081022,308.4582504,288.1023606,284.1102083,41.05497791,0.11293216,0.28,0.16
2019-20,Vadodara,45.95833833,0.558168903,306.6286347,288.7142706,287.890004,54.51301031,6.144952893,0.12,0.09
2020-21,Vadodara,35.5098192,0.526996851,307.6323349,288.8625449,286.2665401,47.41013988,3.157115058,0,0
2021-22,Vadodara,36.1955182,0.428432461,306.245836,288.9724982,286.1023278,48.72289371,3.995386069,0.42,0.3
2014-15,Valsad,27.84304914,0.433661453,307.8066104,288.8071049,288.0552388,53.04970537,5.770653408,0,0
2015-16,Valsad,26.21532059,0.459274248,308.0028833,290.3680979,288.3116931,51.19682867,2.558513408,0,0
2016?17,Valsad,28.56492348,0.528804505,307.7961828,288.9499276,286.9949844,49.34226945,1.373363511,0,0
2017?18,Valsad,28.79820826,0.497792315,307.6770475,288.096481,288.1408638,54.69329369,2.115810409,0,0
2018?19,Valsad,22.37271688,0.432786229,307.6701848,290.415132,286.502232,45.92786611,0.680137986,0,0
2019-20,Valsad,41.21103146,0.492197281,306.5023398,290.0847854,289.8355955,59.48850772,5.910778245,0,0
2020-21,Valsad,34.07862094,0.555230762,307.3487161,289.9089282,288.6358412,54.02227268,6.616609825,0,0
2021-22,Valsad,36.31068157,0.554230683,305.9125984,289.4775985,288.5962852,56.96342556,6.656070647,0,0
